doc	group	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:pass	case	cc	ccomp	compound	conj	cop	csubj	csubj:pass	det	discourse	fixed	flat	flat:foreign	flat:name	iobj	mark	nmod	nsubj	nsubj:pass	nummod	nummod:gov	obj	obl	orphan	parataxis	xcomp	Non-projective sentences	Non-projectivity	Average out-degree	Max out-degree	Number of communities	Average community size	Average path length	Density	Diameter	MHD	MDD
RU_1_305_1	learner	0.0147880891	0.0184500643	0.0271327271	0.0458695468	0.1392582305	0.0032608696	0.0041773231	0	0.1190479424	0.01789361	0.0042160738	0	0.0226943347	0.0013175231	0.0081800836	0	0.0214564119	0.0262939959	0.0076839827	0	0.0191574685	0.0043478261	0.0143276892	0.0297033963	0.1105053821	0.1168438765	0	0.0265848466	0.0030903666	0.0767971597	0.0881841384	0	0.0161338448	0.0126031967	0.1304347826	0.0107660455	0.9350646221	3.8260869565	4.4782608696	4.2069358178	2.542462841	0.0649353779	6.0434782609	3.6813324938	1.1260451793
RU_4_36_1	learner	0.0206223853	0.0064624963	0.0281750668	0.0771806365	0.1279965125	0	0.0171239348	0.000862069	0.0811943087	0.048859929	0.0138977276	0.0007575758	0.0425541513	0.0028236074	0.0093333333	0	0.0241988632	0.021002168	0.0103581305	0	0	0.0041666667	0.0142207147	0.0496745674	0.0991675346	0.0954006108	0.0076299152	0	0.0065513276	0.0536384946	0.0974166957	0	0.0142252284	0.0245053482	0.125	0.0049587076	0.941785455	4.3	4.85	4.9801190476	3.0360069533	0.058214545	7.475	4.405039288	1.3477885743
RU_1_3_1	learner	0.0125732111	0.0059202059	0.0310243016	0.0835850667	0.0741324058	0.0018018018	0.0110398346	0	0.0958378025	0.0415619247	0.0112612613	0.0037323037	0.0425719396	0.0127093362	0.0125212625	0	0.0189234189	0.0105272576	0.0019305019	0	0	0.0027670528	0.0237027612	0.0340005781	0.132332775	0.110249336	0.0049335049	0.0019305019	0.0050836551	0.0722556414	0.1047511974	0	0.0150852151	0.0212539448	0.0540540541	0.0033906634	0.9217897467	4.1081081081	3.5675675676	4.435006435	2.3428436366	0.0782102533	5.3243243243	3.3758641906	1.0742224654
RU_1_89_1	learner	0.0186982636	0.0104424275	0.0099978967	0.0349461487	0.1408293295	0.0035593365	0.0022903641	0.008432535	0.1140198484	0.0558697875	0.0066636884	0.0011235955	0.0679980036	0.0034288641	0.0029556015	0	0.0290040776	0.0059989422	0.0166449605	0	0.0078679224	0.0021441833	0.0065015836	0.0223403701	0.1787340106	0.0578085214	0.0105903924	0.0141662301	0.0025160082	0.0386140729	0.1018305188	0	0.0141489329	0.0098335824	0.0561797753	0.0031671143	0.9456708063	3.8764044944	4.8539325843	4.9598715891	3.129868513	0.0543291937	7.797752809	4.5517641786	1.2381903281
RU_1_245_1	learner	0.0179790368	0.0047775689	0.0069964097	0.0767428234	0.1160052658	0.0056722689	0.0054421769	0.0089905958	0.0975219919	0.0416095084	0.0140451819	0	0.0594443641	0.0069716776	0.0068363148	0	0.0201468372	0.0315426951	0.0140595631	0.0009746589	0	0.004388422	0.0026455026	0.0292487764	0.1527570749	0.0759398804	0.0061177249	0.0049081036	0.0046542553	0.0349905508	0.1225211364	0	0.0214153781	0.0046542553	0.0555555556	0.0016339869	0.959410517	4.8888888889	5.7222222222	5.2662558121	3.4115338964	0.040589483	8.8888888889	4.971848502	1.6876013757
RU_1_82_1	learner	0.0183712121	0.0097804785	0.009375	0.0619264685	0.1297282458	0.0104166667	0	0	0.1293908994	0.0344678396	0.0052083333	0	0.035689872	0.0022522523	0.0314009662	0	0.0437837036	0.0078983516	0.0022522523	0	0.0223214286	0	0	0.0230402957	0.0927861037	0.0723588106	0.0088991624	0.0101981352	0	0.0711769426	0.0980440645	0	0.0444560304	0.0247764845	0	0	0.9387250473	3.75	5.25	4.1073412698	2.87550845	0.0612749527	6.6666666667	4.1639023306	1.1294411092
RU_1_283_1	learner	0.0111738698	0.0010901797	0.0095998905	0.0432136764	0.0838342809	0.0106936011	0.0022757412	0.004651213	0.0961236832	0.0182646494	0.0038657665	0.0013056535	0.0300258451	0.0069791482	0.0023148148	0	0.0302708361	0.0219295823	0.0105181479	0	0.1887895643	0.0035779793	0.0053738696	0.0135183983	0.1119224427	0.0952634049	0.0020152505	0.0074200522	0.0056470988	0.032933424	0.1073473477	0	0.0250558974	0.0130046908	0.037037037	0.0030864198	0.9342492127	3.5555555556	4.2592592593	4.6148589065	3.2267796127	0.0657507873	8	4.4611801605	1.0887952911
RU_1_172_1	learner	0.0097622863	0.0111133513	0.0219373363	0.0545044321	0.1153662636	0.0216292435	0	0.0024038462	0.1508389969	0.0359748492	0.0100668396	0	0.0366307758	0.0040994624	0.0060305086	0	0.0246118201	0.0108611583	0.0158355735	0.0016025641	0.0014534884	0.0079149896	0.0070770202	0.0291378494	0.1429115799	0.0894429574	0	0.0054598986	0.0098023504	0.0385136444	0.1099553817	0	0.0154097258	0.0096518065	0.0625	0.0021551724	0.9605690315	4.75	5.875	4.7974702381	2.9090618747	0.0394309685	7.1875	4.2204217523	1.5990112195
RU_3_10_1	learner	0.004743693	0.0043650794	0.0311601392	0.0433631178	0.1068938904	0.0081012717	0	0.003279321	0.0888603832	0.0516167413	0.0120359142	0	0.0616996318	0	0.00390625	0	0.0361489906	0.0276949199	0.0269342826	0	0	0.0043859649	0.0277000746	0.0508691458	0.0853180149	0.0955222475	0.0017361111	0.0234373044	0.0080351385	0.0351876013	0.1186798277	0	0.0150820102	0.0232429332	0.0416666667	0.0017361111	0.9382137448	4	4.2083333333	4.8104166667	2.5813903963	0.0617862552	5.9583333333	3.7547529784	1.1979225155
RU_1_75_1	learner	0.0062111801	0.0119047619	0.0264529725	0.0356134549	0.1407585686	0.0062111801	0	0.0119047619	0.0884894091	0.0678255492	0	0	0.1034390041	0	0.0130139012	0	0.0151397516	0	0.021978022	0	0	0	0.0113132209	0.0202417924	0.1154329625	0.0763643706	0	0.0089285714	0.0051020408	0.0815319515	0.0994784201	0	0.0124223602	0.0202417924	0.1428571429	0.005952381	0.9491490152	4	4.4285714286	4.8884353742	2.5614224815	0.0508509848	6	3.6967141296	1.2285549595
RU_4_45_1	learner	0.0088460144	0.0036263414	0.0078435231	0.0455405115	0.1339718437	0	0	0.0047759839	0.1340999134	0.0274934925	0	0	0.0431549322	0.0010570825	0.0040724467	0	0.0184162367	0.0020682048	0.0161474922	0	0	0.0010570825	0.0017914142	0.0057722333	0.1829385832	0.0576456445	0.0132267793	0.0871213122	0.015465689	0.0233707403	0.1213279822	0	0.0290714584	0.0100970621	0.023255814	0.0008944544	0.9454149971	3.9534883721	4.7209302326	4.8415559247	2.6093262769	0.0545850029	6.3023255814	3.7917667971	1.4126360415
RU_1_7_1	learner	0.0209222948	0.0164390385	0.0154118485	0.0467225866	0.0903949856	0.0208025169	0	0.0032679739	0.092457558	0.040497717	0.0095611916	0.0022222222	0.0641702686	0	0.0055555556	0	0.0335444854	0.0040494459	0.0136032733	0.003968254	0	0.0034722222	0.0061728395	0.038018658	0.1871281122	0.090103668	0.0144145977	0.0170949477	0.0024154589	0.04556242	0.077992658	0	0.0197713371	0.0142618642	0.0555555556	0.0024154589	0.9309918485	3.5	4.3333333333	4.1609126984	2.6548490101	0.0690081515	6.3333333333	3.838403288	1.115069625
RU_5_6_1	learner	0.0336626984	0.0142857143	0.0196626984	0.0485833333	0.1231904762	0.0057142857	0	0	0.1136547619	0.0234126984	0.008	0.01	0.0234126984	0	0	0	0.0145555556	0.0161111111	0	0	0	0.0273809524	0.037202381	0.0387738095	0.1147380952	0.1398968254	0	0	0	0.0554126984	0.1142420635	0	0.0028571429	0.01525	0.2	0.0078787879	0.9220026845	3.2	3.7	4.9966666667	2.5977871655	0.0779973155	5.9	3.8090515873	0.9359642857
RU_1_144_1	learner	0.0180305571	0.0276736097	0.012244898	0.0391945356	0.1730490532	0	0	0.0419406811	0.1071096851	0.0321635282	0.010989011	0	0.0429960172	0	0	0	0.0381236414	0.0137755102	0.0066109422	0	0	0	0.0051020408	0.0404049153	0.1241517447	0.0883955096	0.0098522167	0.0064935065	0	0.0226890047	0.1091645405	0	0.0196624804	0.0101823708	0.1428571429	0.0024630542	0.9616939402	5	5.5714285714	5.2452380952	3.3770469775	0.0383060598	8.5714285714	5.0183541167	1.2382946334
RU_1_286_1	learner	0.0214891359	0.0200315903	0.0151487738	0.055452578	0.1165880309	0.0089074404	0.004364828	0.0068695824	0.1188646556	0.023816608	0.0062669377	0.0009380863	0.0440549205	0.0065475058	0.0021075013	0	0.025661447	0.0063216031	0.0172081116	0	0.0057263518	0.011726155	0.0090968923	0.0311444524	0.106270205	0.1141547238	0.0010162602	0.0086897948	0.0111343091	0.044048442	0.1177849049	0	0.0227520875	0.015816085	0.0731707317	0.0038844735	0.9404151741	4.2682926829	4.7073170732	4.5790121802	2.7502089355	0.0595848259	6.5609756098	3.9567608552	1.3314888969
RU_4_16_1	learner	0.0131147661	0.0071151924	0.0202243941	0.0416895305	0.1491130459	0.0048748353	0.0025575448	0	0.125405676	0.0254286601	0.0081874647	0	0.0283509263	0.0079923274	0	0	0.0364280045	0.0167592674	0.0072463768	0	0	0.0028985507	0.0214833903	0.0321514663	0.1112175797	0.1027619902	0.0043978011	0.0124223602	0.0075611233	0.0594101552	0.1183703345	0	0.0173985508	0.0154386854	0	0	0.9144520805	3.4782608696	3.3913043478	4.1760869565	2.4150236801	0.0855479195	5.347826087	3.5333678277	0.999608742
RU_1_48_1	learner	0.0171713892	0.0161550571	0.0164787485	0.0231847698	0.1155864926	0.0013774105	0.0009090909	0.0093147383	0.1685863211	0.0178460471	0.0051270279	0	0.0228598212	0.0051800052	0.0028409091	0	0.0253974393	0.0064257292	0.0221487603	0	0.0035419126	0.0064049587	0.0044642857	0.020838362	0.1351568675	0.0738887922	0.0022727273	0.0864382293	0.0012987013	0.0310137085	0.1441281992	0	0.0109504132	0.0030130854	0	0	0.958085193	4.6363636364	5.2272727273	5.1553030303	2.8245264907	0.041914807	6.9090909091	4.1229829304	1.4623781311
RU_1_182_1	learner	0.0092710363	0.0159329036	0.0068700636	0.0795678011	0.1417149977	0.0021200416	0.0039351689	0.0024558577	0.1052489233	0.0326884101	0.002766637	0.0003501401	0.0424838683	0.0052696826	0.0110421162	0	0.0349717241	0.0287624873	0.0134168097	0	0.0044851812	0	0.0134327491	0.0150107442	0.1137681159	0.0977257219	0.007479462	0.0185442235	0.0063588675	0.0347618233	0.1212071444	0	0.0161562946	0.0122010033	0.0294117647	0.0011936593	0.9348383583	3.7941176471	4.3382352941	4.8860119048	2.5803313076	0.0651616417	6.1176470588	3.7852251347	1.3066644122
RU_1_92_1	learner	0.0146489665	0.0087114571	0.0100406684	0.0390717807	0.1072315396	0.0093852797	0.0015382253	0.0088072572	0.1105541117	0.0293675047	0.0009639168	0.0018137732	0.0307606117	0.0047652535	0.0041184275	0	0.0253899455	0.0087680807	0.0259023133	0	0.0569394908	0.0008438819	0.0086600441	0.015485189	0.1714097805	0.0821944392	0.0023809524	0.0420064903	0.0132478273	0.0333193025	0.1045006836	0	0.0190545571	0.0081182483	0.0379746835	0.0015011298	0.9468302844	4.0253164557	4.6202531646	4.7857868924	2.8299022947	0.0531697156	6.9240506329	4.092596221	1.2409676302
RU_1_260_1	learner	0.0050096962	0.0130954516	0.0204872742	0.0849611864	0.0909587718	0.0016722408	0	0	0.0965626011	0.0178407063	0.0130428147	0	0.0362895651	0.0122033763	0.0133699634	0	0.0344310604	0.0128205128	0.0018315018	0	0	0.0016722408	0.0150335775	0.0487451594	0.0893779622	0.135817878	0	0.0157914549	0	0.0981098652	0.0953958882	0	0.02090301	0.0245762408	0.0769230769	0.0123626374	0.9162642711	3.5384615385	3.5	4.2604395604	2.2979878007	0.0837357289	5.0769230769	3.3387990725	1.0495432833
RU_4_33_1	learner	0.0156999331	0.0029429861	0.0067077029	0.0694142569	0.1367623525	0.006802935	0.0015479876	0.0065180103	0.1354258059	0.0397943579	0.005792654	0.0026205451	0.0429385955	0.0009433962	0	0	0.0216896292	0.0176736258	0.005627025	0.0019339623	0	0.0049101527	0.0045012194	0.0182349943	0.1561512037	0.0978808435	0.0081761006	0.0147634022	0.0047169811	0.033115123	0.098481489	0	0.0256943076	0.0125384215	0.0188679245	0.0016406891	0.9214956168	3.6226415094	3.8867924528	4.0986972147	2.4009844678	0.0785043832	5.4528301887	3.4892109529	1.1436589174
RU_1_212_1	learner	0.0088461538	0.0101111111	0.0204711538	0.0639308877	0.0643317577	0.0033333333	0	0	0.1453028352	0.0439408084	0.007	0	0.0483217608	0.0324365079	0.0095	0	0.0267678571	0.0083823529	0.002	0	0	0	0.003125	0.0338173077	0.1438659951	0.1576520416	0.0027777778	0	0.0015625	0.0399471289	0.0872704652	0.0015625	0.0222427638	0.0115	0.15	0.0172664141	0.9111735562	3.8	3.45	4.1808333333	2.3299045874	0.0888264438	5.3	3.3098562496	1.0833454042
RU_1_243_1	learner	0.0151858389	0.0061724655	0.0069244161	0.0236089218	0.1245891067	0.0047969153	0.0005128205	0.01052087	0.1424532365	0.0296600354	0.0058923369	0.0007299576	0.0623784205	0.007857902	0.0018412036	0.0002787068	0.0126389721	0.0030555855	0.0095336191	0.0003373819	0.0052789323	0.004029304	0.0042301833	0.0182783432	0.2165311363	0.0718037767	0.0112261774	0.0477515657	0.0041887115	0.0260162747	0.0903841972	0	0.0216876133	0.0096250717	0.0320512821	0.0011690174	0.9423570636	3.6730769231	4.608974359	4.806743488	3.0151661879	0.0576429364	7.3525641026	4.41557644	1.1745118533
RU_1_288_1	learner	0.0170452586	0.0070495399	0.01439263	0.0562295512	0.1040662467	0.0116076464	0.0130434783	0.0026072748	0.0950353887	0.0463758761	0.0157515247	0	0.0508431473	0.0180006565	0.0091485507	0	0.0180553822	0.0025603865	0.0281702787	0	0.0005720824	0.0057141692	0.0128180525	0.0412614853	0.0988688245	0.1176406902	0.0083758029	0.0066803528	0.0062732808	0.0449905287	0.1110302409	0	0.0171140806	0.0186775921	0.0652173913	0.0068740333	0.9217059761	3.9130434783	3.847826087	4.466873706	2.4946639098	0.0782940239	5.7173913044	3.607263541	1.1480266814
RU_1_19_1	learner	0.0115948306	0.0060691436	0.006897571	0.0589853964	0.1420958539	0	0.0027472527	0.0021367521	0.1273094166	0.0468743313	0.0032051282	0	0.0580958191	0	0	0	0.0323939694	0.0298014378	0.0204747783	0	0	0.0032051282	0.0088719524	0.0126026245	0.1533694039	0.0832386216	0.0116284577	0.0085890375	0.0025641026	0.0358978915	0.093025568	0	0.0188248478	0.0195006831	0	0	0.9201555515	3.2692307692	4.1538461539	4.1359432234	2.5537102121	0.0798444485	5.9615384615	3.7105899274	1.1071830233
RU_1_207_1	learner	0.0143935349	0	0.0104026408	0.1145634133	0.0868461604	0	0	0	0.1089062685	0.0589938195	0.0067541154	0	0.067641452	0	0.0087687249	0.0039525692	0.026195061	0.0347965618	0.0115066093	0	0	0	0.0175840641	0.0271083563	0.0602250407	0.0865409952	0.0016722408	0	0	0.0736957842	0.1234743092	0	0.0401702163	0.0158080624	0.0434782609	0.0079051383	0.9287279492	3.9130434783	3.9130434783	4.0514492754	2.3834373585	0.0712720508	5.1739130435	3.4425084293	1.1614779651
RU_1_209_1	learner	0.0028985507	0.0044444444	0.0137301587	0.1076129785	0.0701582209	0.0026666667	0.0031746032	0	0.1082115824	0.0640029414	0.01001443	0	0.0704594391	0.0028985507	0.0116414141	0	0.0376224983	0.0340099442	0.0127777778	0	0	0	0.0197066315	0.0330796474	0.0997943575	0.0992980905	0.0088888889	0.0039215686	0	0.0498030857	0.0836781959	0	0.0247604618	0.0207448711	0.0666666667	0.0049382716	0.9364007747	4.8	4	4.7233333333	2.3603807007	0.0635992253	5.2	3.4602267782	1.5821252791
RU_4_18_1	learner	0.0195138195	0.0180735931	0.0069828722	0.0359326664	0.0909572312	0.0182484182	0	0.0124458874	0.1612204221	0.0365255517	0	0	0.0332787985	0	0	0	0.022977023	0	0.0151515152	0	0	0.0034965035	0	0.0113118765	0.2041802401	0.0538980343	0.0162337662	0.0051948052	0.0173853924	0.0330494385	0.135328681	0	0.0185064935	0.0301069703	0	0	0.9503712879	3.9090909091	4.5454545455	4.9303030303	2.8254383623	0.0496287121	7	4.1452339931	1.0492304797
RU_1_40_1	learner	0.0076269482	0.0046924753	0.0132537833	0.0219694031	0.0845992417	0.0056944444	0.0024154589	0.0054901961	0.1505389884	0.0234591025	0.0059459459	0	0.0378367629	0.0059462759	0	0	0.0238458238	0.0085470085	0.0351761058	0.012366283	0	0.0022222222	0	0.0193911981	0.181853918	0.0990732837	0	0.0880137355	0	0.01477657	0.1158291779	0	0.0215154186	0.0079202279	0	0	0.9484397647	4.2222222222	4.6666666667	5.0354497355	2.6234079282	0.0515602353	6.1666666667	3.7414838332	1.5736006037
RU_1_23_1	learner	0.0040620548	0.0043504902	0.0076333185	0.0739173851	0.1146633275	0.0053904429	0	0.0041666667	0.103280931	0.0439439527	0.0063289141	0	0.0649169731	0.0332289528	0.0049400253	0	0.0434498457	0.0126201923	0.0221153846	0	0	0.0036458333	0.0107013646	0.0171401142	0.101947899	0.1348964848	0	0.0116959549	0.0115980204	0.0312388422	0.0955264219	0	0.0200506041	0.0125496032	0.0416666667	0.0035714286	0.9083111464	3.9583333333	3.3125	4.1897569444	2.1818648112	0.0916888536	4.7083333333	3.1346534019	1.1019869378
RU_6_22_1	learner	0.0276586771	0.0041666667	0.0234307359	0.0489084928	0.1196158846	0.0125	0	0.0037878788	0.0939608798	0.0461800809	0.0139318885	0	0.1054190875	0	0.0037878788	0	0	0	0.0037878788	0	0	0.0123511905	0	0.0331959578	0.1663855494	0.0642096133	0.0125	0.0220551378	0.0125	0.0403765095	0.1012525465	0	0.0165178571	0.0115196078	0	0	0.958019475	4.5	5.125	5.4151785714	3.1586078494	0.041980525	7.625	4.7113505271	1.5732128198
RU_1_294_1	learner	0.0043409807	0.0083508657	0.0213512229	0.0855497074	0.1397089605	0.0028176951	0.0026251526	0.0014245014	0.1053564687	0.018255722	0.0128577368	0	0.025717254	0.0153796702	0.0017094017	0	0.0281187732	0.0107125173	0.0183675048	0	0.0046296296	0.0017094017	0.0119251119	0.032575598	0.1188627528	0.1236085761	0	0.0176775646	0.0040011731	0.0473057576	0.0919872678	0	0.0121971438	0.0308758878	0.0256410256	0.0022296544	0.9365092033	4.0769230769	4.1282051282	4.5681041181	2.5387139246	0.0634907967	5.8974358974	3.7036897655	1.291034451
RU_1_99_1	learner	0.0133356675	0.0095434017	0.0233150296	0.0485753266	0.1026298271	0.0009377927	0.0022696717	0.0017742583	0.1065721979	0.0442881362	0.0091859133	0	0.0539417308	0.005562929	0.0086723475	0	0.043969885	0.0092907034	0.0113863175	0	0.0024547684	6.3051702396E-05	0.0138371124	0.0392253044	0.105965456	0.1009274697	0.0041161603	0.006842305	0.0044135636	0.0857674531	0.1019797719	0.0002749495	0.0124965086	0.0263849895	0.0885245902	0.0070445511	0.9167893928	3.4524590164	3.7327868853	4.1599180328	2.5075979621	0.0832106072	5.7098360656	3.6679637997	1.0160265857
RU_4_26_1	learner	0.0162991923	0.0150505688	0.0305631278	0.0629468832	0.058275645	0.0006993007	0.0111115201	0.0019012238	0.1062635603	0.0425785066	0.0057413437	0	0.0449657448	0.0015384615	0.0063461538	0	0.0281853804	0.0113575314	0.0058956428	0	0	0.0006993007	0.0101798732	0.0364935986	0.105662654	0.1196887982	0.0118055556	0	0.0029617441	0.073561047	0.1318507382	0	0.0187212837	0.0386556196	0.0769230769	0.0059003497	0.9370830236	4.2692307692	4.2307692308	4.7833333333	2.8001142597	0.0629169764	6.6538461539	4.0750784567	1.1136382728
RU_1_67_1	learner	0.0133331348	0.0153691105	0.0213384697	0.046144128	0.113287819	0.0084620076	0.0033456485	0.0039153995	0.1056151767	0.0467098586	0.0048364548	0.0015034854	0.0626421497	0.0105252659	0.0034741214	0	0.0296869804	0.0083498161	0.0090082652	0.0016957004	0.0009610055	0.0021468341	0.0104835471	0.0306836468	0.1249011743	0.0991458407	0.0098226359	0.0084608161	0.0035183379	0.0543497399	0.0981919057	0	0.0184966308	0.0295948929	0.044	0.0040787733	0.9336069181	3.656	4.12	4.3439361472	2.6694862848	0.0663930819	6.278	3.8842446668	1.1105848933
RU_1_205_1	learner	0.0138888889	0.0037878788	0.0190781441	0.1233124514	0.0429823649	0	0	0	0.0776770683	0.0347862785	0.0032051282	0	0.0554302179	0.0252594628	0.0097286972	0	0.0448578042	0.0404865967	0.0113705739	0	0	0	0.0138888889	0.0346840659	0.1039416602	0.1295402514	0	0.0029761905	0	0.0474236412	0.1195726727	0	0.011228355	0.0308927184	0	0	0.8883512151	3.2083333333	2.9583333333	3.8194444444	2.1637401491	0.1116487849	4.5416666667	3.1590917185	0.8731027075
RU_1_123_1	learner	0.0104812981	0.0032852564	0.0144403595	0.0211107422	0.1061191366	0.0459828064	0.0012019231	0.0035218254	0.0859939098	0.0711419504	0.0062392167	0	0.0947263521	0.003125	0.0012019231	0	0.0197070495	0.014854243	0.0243270831	0	0.0055147059	0.0350694444	0.0152777778	0.0210849306	0.1391020567	0.0748318684	0.0012019231	0.007181677	0.0089285714	0.0456492854	0.0673619894	0	0.0222480338	0.0290876607	0	0	0.9367920173	3.5625	5.1875	4.6682787698	2.8584366389	0.0632079827	7.125	4.1517781904	1.2448221429
