doc	group	acl	acl:relcl	advcl	advmod	amod	appos	aux	aux:pass	case	cc	ccomp	compound	conj	cop	dep	discourse	fixed	flat	flat:foreign	flat:name	iobj	mark	nmod	nsubj	nsubj:pass	nummod	nummod:entity	nummod:gov	obj	obl	obl:agent	orphan	parataxis	xcomp	Non-projective sentences	Non-projectivity	Average out-degree	Max out-degree	Number of communities	Average community size	Average path length	Density	Diameter	MHD	MDD
RU_1_305_1	learners	0.0011764706	0.021735964	0.0320493469	0.0882610772	0.1521569575	0.0013333333	0.0026666667	0	0.1128574403	0.0230097403	0	0	0.0166904762	0.0073885918	0.0028571429	0	0.0098470418	0	0.0199640523	0.004	0	0.0247477596	0.1144376318	0.1264902973	0.0057142857	0.0244580588	0	0.0028431373	0.0953359266	0.0802865549	0	0	0.0228590103	0.0068330362	0.16	0.0118462824	0.9304562362	3.96	4.2	4.5413333333	2.4527680158	0.0695437638	5.68	3.539931443	1.1209232835
RU_4_36_1	learners	0.0097222222	0.0063553535	0.042685571	0.1142125547	0.1649679634	0	0.0171239348	0.000862069	0.081775704	0.0595582691	0.00125	0.0007575758	0.0486509667	0.0051291407	0.0081665826	0	0.0091953398	0	0	0.0041666667	0	0.0366944812	0.10971991	0.0966986747	0.0071030953	0	0	0.0053777969	0.0531059751	0.0761456676	0.0024222756	0	0.0178740939	0.0202781157	0.15	0.0062335733	0.941785455	4.4	4.825	5.1141071429	3.0085429082	0.058214545	7.4	4.3223941958	1.3387113686
RU_1_3_1	learners	0.0037440037	0.0059202059	0.0423836365	0.1104771531	0.1027486094	0	0.0110398346	0	0.0973222414	0.0499085065	0	0.0018018018	0.0493156464	0.012504586	0.0127627628	0	0.0038610039	0	0	0.0027670528	0	0.025449246	0.1471516273	0.117310293	0.0054600055	0.0019305019	0	0.0057082292	0.0739989431	0.0836589792	0	0	0.0223319959	0.010443134	0.027027027	0.0024570025	0.9219382468	3.972972973	3.6756756757	4.2536036036	2.340076679	0.0780617532	5.2972972973	3.3834703166	1.0664905047
RU_1_89_1	learners	0.0014240783	0.0108524037	0.0183414049	0.0537937749	0.1824861803	0.0021776656	0.0022400264	0.0084196855	0.111874996	0.0632968366	0	0.0014319014	0.0663739603	0.0047530309	0.0055632275	0.0003052503	0.0173820636	0	0.0078036226	0.0014284149	0	0.0143472618	0.1804105323	0.0609835007	0.0116650742	0.0249331834	0	0.0025606114	0.0385457202	0.0816545215	0.0020162446	0.0012210012	0.0161541009	0.0055597238	0.0989010989	0.0065016751	0.9423989791	3.9120879121	4.8681318681	4.8363596721	2.9921062115	0.0576010209	7.4395604396	4.333344043	1.2043525482
RU_1_245_1	learners	0.0050125313	0.0057752093	0.023723254	0.1299704743	0.1381473416	0.0053737284	0.0051557465	0.0077018338	0.0930356082	0.043483954	0	0	0.0554427055	0.007678861	0.0105576441	0.0032894737	0.0135781272	0	0	0.005210084	0	0.0200488895	0.1849914738	0.079731165	0.0057957393	0.005037594	0	0.0075052697	0.044674797	0.0773101759	0.0030959752	0	0.0142863785	0.0043859649	0.1052631579	0.0034276869	0.9548477731	4.1578947368	5.1052631579	5.7375730994	3.2386729773	0.0451522269	8.4210526316	4.6932706306	1.220727215
RU_1_82_1	learners	0.0041666667	0.0134036669	0.0182065217	0.0851429015	0.1877164948	0	0	0	0.125767711	0.038208187	0	0	0.0348473942	0.0022522523	0.0151908487	0	0.0022522523	0	0.0297619048	0	0	0.0207880435	0.0972906082	0.0917730793	0.0088991624	0.0101981352	0	0	0.0802657705	0.0672505239	0.0037878788	0	0.0468254417	0.0160045547	0	0	0.9387250473	4.0833333333	4.5833333333	4.6110449735	2.644218793	0.0612749527	6.0833333333	3.8852190899	1.4166294197
RU_1_283_1	learners	0.006017773	0.0007122507	0.0138848791	0.0770749466	0.1308252418	0.0058004816	0.0022757412	0.004651213	0.0940394274	0.0217325433	0	0.0008818342	0.0277442384	0.0076405239	0.0034912618	0.0015432099	0.0094177722	0	0.1961814495	0.004630252	0	0.0091128931	0.1234636341	0.0955098192	0.0010893246	0.0080036344	0	0.0056470988	0.0306260527	0.0829023342	0.0005787037	0	0.0213914976	0.0131299681	0.0185185185	0.0037037037	0.9345353756	3.6481481482	4.3518518519	4.4830908289	3.1390637668	0.0654646244	7.7777777778	4.3999163411	1.0841621226
RU_1_172_1	learners	0	0.0110171974	0.028422876	0.0870272072	0.1424487033	0.0186103326	0	0.0024038462	0.1440016502	0.0418253148	0	0	0.0389829376	0.0058355735	0.0036186931	0	0.0197418235	0	0.0014534884	0.0105191562	0	0.0210444037	0.1588163288	0.0954789551	0	0.0054598986	0	0.0114049145	0.0397328534	0.0840434672	0	0	0.0180450072	0.0100653715	0.0625	0.0021551724	0.9604558069	4.75	5.4375	5.1633928571	2.8207115001	0.0395441931	6.75	4.0937620089	1.5504523667
RU_3_10_1	learners	0.0018115942	0.0075702076	0.0336887782	0.1143417763	0.14288856	0.0067123828	0	0.003279321	0.0888603832	0.0740054421	0	0	0.0614388826	0	0.0024509804	0	0.0258319898	0	0	0.0043859649	0	0.0284804449	0.1381947559	0.0895905345	0.0017361111	0.0234373044	0	0.0107924915	0.0401065828	0.0694702676	0	0	0.0127374581	0.0181877862	0.0833333333	0.0032242063	0.9382137448	4.0833333333	4.375	4.6267857143	2.5638876281	0.0617862552	5.9166666667	3.7288483835	1.2464605356
RU_1_75_1	learners	0	0.0170068027	0.0264529725	0.0466024659	0.1745318605	0	0	0.0119047619	0.0884894091	0.0678255492	0	0	0.0983369632	0	0.0051020408	0	0.021978022	0	0	0	0	0.0202417924	0.1216441426	0.0944803126	0	0.0089285714	0	0.0051020408	0.0753207714	0.0947005893	0	0	0.0062111801	0.0151397516	0.1428571429	0.005952381	0.9491490152	3.8571428571	4.2857142857	4.9404761905	2.6138759895	0.0508509848	6.1428571429	3.7534466052	1.2821263881
RU_4_45_1	learners	0	0.0046644508	0.0059675713	0.0550503308	0.1604033318	0.0015873016	0	0.0033379285	0.127786843	0.0452298809	0	0	0.0567886546	0.001010101	0.0041966994	0	0.014056856	0	0	0	0	0.0025980922	0.2145605555	0.0618603492	0.0093115309	0.0762252001	0	0.0126754509	0.0225898009	0.0920280027	0.0005555556	0	0.0209465735	0.0065689387	0.0222222222	0.0004830918	0.9311557032	3.8444444444	4.3777777778	4.6286243386	2.5029050007	0.0688442968	6.0888888889	3.6170795316	1.2983323815
RU_1_7_1	learners	0	0.020997002	0.017431562	0.0705716374	0.1377001471	0.0096641727	0	0.0032679739	0.0938125716	0.0635002719	0	0	0.055395976	0.0023148148	0.0049019608	0	0.0163834423	0	0	0.0034722222	0	0.017431562	0.204171317	0.1005322063	0.0144145977	0.0170949477	0	0.0024154589	0.0353772348	0.0704682223	0	0	0.0276868082	0.0109938903	0.1111111111	0.0073396567	0.9309918485	3.3888888889	4.0555555556	4.4533068783	2.7530827235	0.0690081515	6.6111111111	3.9761276628	1.0318161757
RU_5_6_1	learners	0	0.0142857143	0.0221071429	0.0791111111	0.1658531746	0.0085714286	0	0	0.1136547619	0.0400793651	0	0	0.0246626984	0	0.009	0	0	0	0	0.0273809524	0	0.0221071429	0.1361666667	0.1398968254	0	0	0	0	0.0554126984	0.1276031746	0	0	0.0078571429	0.00625	0.2	0.0112121212	0.9220026845	3.2	3.8	4.7966666667	2.4996460048	0.0779973155	5.6	3.6555873016	0.9266071429
RU_1_144_1	learners	0	0.0276736097	0.0266294051	0.0676051068	0.2352293684	0	0	0.0419406811	0.1071096851	0.037265569	0	0	0.04645001	0	0.0030395137	0	0.0066109422	0	0	0	0	0.0353028745	0.1053436615	0.093321618	0.0079656221	0.0064935065	0	0	0.019649491	0.0991072772	0.0100281492	0	0.0196624804	0.0035714286	0.1428571429	0.0024630542	0.9616939402	4.7142857143	5.1428571429	5.7142857143	3.3627751693	0.0383060598	8.7142857143	4.9552093204	1.2097662908
RU_1_286_1	learners	0.001781401	0.0156547147	0.0217226099	0.0842140788	0.1560052689	0.0072087912	0.0037163729	0.0044510099	0.1163012591	0.0364658663	0	0	0.0490895594	0.0120808238	0.0027857143	0.00078125	0.0178746926	0	0.0064822557	0.0108827043	0.0010416667	0.0168327015	0.1083598877	0.1077239472	0.0010869565	0.0184658632	0	0.0097561114	0.046098092	0.0992111923	0	0	0.0315604442	0.0123647648	0.175	0.0079654365	0.9377672914	4.3	4.675	4.6693154762	2.7102407042	0.0622327086	6.5	3.8347516565	1.208084358
RU_4_16_1	learners	0	0.0118088683	0.0282240707	0.0856640594	0.1687774928	0.0077294686	0.0025575448	0	0.125405676	0.0382541801	0	0	0.0343840061	0.0079923274	0.0014992504	0	0.0072463768	0	0	0	0	0.0255371264	0.139136659	0.109731314	0.0028985507	0.0062111801	0	0.004843732	0.051075037	0.1007565223	0	0	0.0228515873	0.0174149699	0.0434782609	0.0019762846	0.9144520805	3.4782608696	3.6086956522	3.9449275362	2.37417654	0.0855479195	5.2173913044	3.4547220379	0.9039760532
RU_1_48_1	learners	0	0.0177784337	0.0192149854	0.044006734	0.1509199807	0.0013774105	0.0009090909	0.0093147383	0.1685863211	0.0217578928	0	0	0.0224431545	0.0034965035	0.0016835017	0	0.0221487603	0	0	0.0064049587	0	0.0157714592	0.1526157765	0.0770357925	0.0022727273	0.0864382293	0	0.0012987013	0.0362872229	0.1194654882	0.0041322314	0	0.0125737898	0.0020661157	0	0	0.958085193	4.4545454546	5.5	4.9655844156	2.9875452835	0.041914807	7.4090909091	4.3030237313	1.4002916738
RU_1_182_1	learners	0.0006684492	0.0148286158	0.0089191004	0.1257703799	0.1822843176	0.0020616849	0.003558095	0.0024558577	0.1043799393	0.0354595691	0	0	0.0428437086	0.0052696826	0.0058603834	0	0.0134082697	0	0.0040650131	0	0	0.0090220818	0.1340479208	0.1094473975	0.0050599044	0.0198811219	0	0.0058844842	0.0363637141	0.0996225334	0.0014005602	0	0.018060354	0.0093768613	0.0294117647	0.0037878788	0.9349326267	3.7941176471	4.3088235294	4.8228816527	2.5347202479	0.0650673733	5.7941176471	3.7116070773	1.3310632345
RU_1_92_1	learners	0.0021111444	0.0057112516	0.0135396218	0.0507562626	0.138563973	0.0250530181	0.0009779442	0.0078460514	0.1007254152	0.0301233079	0	0.0016099785	0.0239017645	0.0045214315	0.002353968	0.0014440148	0.0225182356	0	0.0647609172	0.0007490637	0	0.0111824772	0.1959632346	0.081633117	0.0017121455	0.0388226061	0	0.0128569788	0.0341213049	0.0857641145	0.0023952753	0	0.032134022	0.0061473599	0.0337078652	0.0025257294	0.9273069473	3.7303370787	4.191011236	4.6047084002	2.6117503662	0.0726930527	6.2471910112	3.78864341	1.0863532649
RU_1_260_1	learners	0.0106292517	0.0181124431	0.0271668285	0.1266715666	0.1144776333	0.007505176	0	0	0.1060201477	0.0397649447	0	0	0.0394666841	0.0113317066	0.0044642857	0	0.0017006803	0	0	0.001552795	0	0.0220647877	0.1028481741	0.1452742641	0	0.0234503419	0	0	0.0859999769	0.0756701401	0	0	0.0142828871	0.0215452848	0.0714285714	0.0102040816	0.9125360563	3.3928571429	3.1785714286	4.5333333333	2.2760247114	0.0874639437	4.9642857143	3.3011804826	0.9815497774
RU_4_33_1	learners	0.0023584906	0.0029429861	0.0154782049	0.077710892	0.1723023585	0.0060709294	0.0015479876	0.0018010292	0.1354258059	0.0429245141	0	0.0028301887	0.0408427761	0.0009433962	0.0073307196	0	0.0074614065	0	0	0.0047663971	0	0.0151544905	0.1569519069	0.1090418828	0.0110062893	0.0147634022	0	0.0057100298	0.0346238082	0.0884691351	0.0009433962	0	0.0335622997	0.0070352769	0.0377358491	0.0042508763	0.9214956168	3.7358490566	3.7924528302	4.2698113208	2.3371429479	0.0785043832	5.3018867925	3.3786213066	1.2031093544
RU_1_212_1	learners	0.005	0.0101111111	0.0193461538	0.1063625109	0.0852630348	0.0033333333	0	0	0.1440853028	0.0625923374	0	0	0.0433434058	0.0323282828	0.0029411765	0	0	0	0	0	0	0.0153461538	0.1542336899	0.1634345091	0.0027777778	0	0	0.0015625	0.0375661765	0.0828894088	0	0	0.0184831349	0.009	0.15	0.0100319069	0.9118196915	3.9	3.25	4.9366666667	2.2862116969	0.0881803085	5.2	3.2122980222	1.1337104493
RU_1_243_1	learners	0.0009975504	0.0059342473	0.0133847555	0.0420028695	0.1491261778	0.0061841121	0.00025	0.0103791325	0.1436994089	0.0351377635	0	0.0017028125	0.0606876377	0.0080340035	0.00332963	0.0005842391	0.0101278652	0	0.0047820326	0.0033035714	0	0.0105403949	0.2250568674	0.0693306759	0.0138309135	0.0480122186	0.0004807692	0.0040737955	0.024406905	0.0740555417	0.0012318046	0	0.0234246049	0.0059076991	0.06875	0.0026947586	0.9401505057	3.64375	4.65	4.6727232143	2.9113307207	0.0598494943	7.0625	4.2627133956	1.1206397672
RU_1_288_1	learners	0.001934236	0.0094278329	0.033445058	0.0802067142	0.1329983136	0.0039111389	0.0117736456	0.0027791149	0.0979219454	0.0655855907	0.0012515645	0	0.0403308063	0.023751323	0.0012515645	0	0.0169832718	0	0.0011198208	0.0050736498	0	0.029026738	0.1218363903	0.1178388351	0.0081975944	0.0097577025	0	0.0061398067	0.04790437	0.0904366272	0.0053789684	0	0.016446205	0.0172911718	0	0	0.9207694624	3.8085106383	3.7234042553	4.529964539	2.473008208	0.0792305376	5.7021276596	3.5554620626	1.098905593
RU_1_19_1	learners	0	0.0060691436	0.0133179719	0.0962398097	0.1775118013	0	0.0027472527	0.0021367521	0.1273094166	0.0529660656	0	0	0.0587396969	0	0.005011655	0	0.0204747783	0	0	0.0032051282	0	0.0092581429	0.1673206973	0.0821702456	0.0189768005	0.0085890375	0	0.0025641026	0.0344952938	0.074516031	0.0030748384	0	0.020488551	0.0128167873	0	0	0.9201555515	3.5	3.9615384615	4.2637820513	2.586614671	0.0798444485	6.1153846154	3.7748363672	1.1478313007
RU_1_207_1	learners	0.006523569	0	0.0172903077	0.1556730087	0.1163667281	0.001344086	0	0	0.1049862438	0.1065848284	0	0	0.0631756912	0.0034965035	0.0249859534	0.0034722222	0.0110271673	0	0	0	0	0.0146054925	0.0770161067	0.0907794381	0.0088626651	0	0	0	0.0640486609	0.0779374379	0	0	0.0367192992	0.0151045902	0	0	0.9172654356	3.8333333333	3.625	4.2270833333	2.2537070968	0.0827345644	4.9166666667	3.2402901222	1.1339329468
RU_1_209_1	learners	0	0.0044444444	0.0251431395	0.1653278289	0.1100029414	0	0.0031746032	0	0.1082115824	0.0819538793	0	0	0.0636610201	0.0028985507	0.0074747475	0	0.0127777778	0	0	0	0	0.0151287095	0.122454813	0.1123978145	0.0088888889	0.0039215686	0	0	0.0390481837	0.0752032215	0	0	0.0220937951	0.0157924901	0.1333333333	0.0103703704	0.9364007747	4	4	4.6444444444	2.5478984209	0.0635992253	5.7333333333	3.7550175024	1.5514598211
RU_4_18_1	learners	0	0.0145833333	0.0075914424	0.0412716108	0.1231728115	0.0064102564	0.0034722222	0.0079365079	0.1505631647	0.0402277875	0	0	0.0293150891	0	0.0114087302	0	0.0138888889	0	0	0.0032051282	0	0.0036231884	0.1895461724	0.0779118225	0.0152777778	0.0236111111	0	0.0159366097	0.0455213366	0.1048103467	0.0032051282	0	0.0293956044	0.0381139291	0	0	0.9402662106	4.0833333333	4.5833333333	4.5041666667	2.5721207767	0.0597337894	6.1666666667	3.6793580011	1.0428133461
RU_1_40_1	learners	0.0022222222	0.0079604491	0.0226719514	0.0377522189	0.1173220138	0.0022222222	0.0024154589	0.0054901961	0.1505389884	0.0234591025	0	0	0.0290230788	0.0059462759	0.0022222222	0	0.0351761058	0	0	0.0022222222	0	0.0178896966	0.2066801722	0.0910578351	0	0.0880137355	0	0	0.0204710145	0.1020293932	0	0	0.0215154186	0.0056980057	0	0	0.9484397647	4.5555555556	4.8888888889	4.7517195767	2.5880006144	0.0515602353	6.1666666667	3.6887323135	1.5428471907
RU_1_23_1	learners	0.0016025641	0.005068881	0.014433087	0.1121996468	0.1610712394	0.0032051282	0	0.0041666667	0.103280931	0.0466509799	0	0	0.0645408157	0.0389981835	0.0043650794	0	0.0221153846	0	0	0.0010416667	0	0.014433087	0.1150609843	0.1438561679	0	0.0090917882	0	0.0115980204	0.0331146778	0.0595968303	0	0	0.0230181108	0.0074900794	0.0625	0.0064484127	0.9083111464	3.6666666667	3.2916666667	3.9795138889	2.2137061285	0.0916888536	4.8958333333	3.1647823039	0.9980258086
RU_6_22_1	learners	0	0.0037037037	0.0269434155	0.0817771166	0.1548617705	0.0106481481	0	0.0033670034	0.0916048276	0.0619367604	0	0	0.0994658363	0	0.0134803922	0	0.0033670034	0	0	0.0063492063	0	0.0118604592	0.1590218648	0.075432415	0.0111111111	0.0276886126	0	0.0240384615	0.0258756107	0.0901382387	0.0026455026	0	0.010978836	0.0037037037	0	0	0.9525759531	4.3333333333	4.7777777778	5.0132275132	3.0606171437	0.0474240469	7.2222222222	4.546703712	1.4867422982
RU_1_294_1	learners	0.0017857143	0.0080138889	0.0298052718	0.110218314	0.1668583228	0.000862069	0.0025287356	0.0013888889	0.1070250074	0.0201131711	0	0.0039176245	0.0308523479	0.019613234	0.0109322479	0	0.0134615385	0	0.0045138889	0.0016666667	0	0.0280584769	0.1330667131	0.1222229978	0.001	0.0179407537	0	0.0039011438	0.0474631625	0.0749534575	0	0	0.0108696267	0.0269667357	0	0	0.9354622905	4.05	4.125	4.4335416667	2.5321510916	0.0645377095	5.9	3.6837965432	1.1734200384
RU_1_99_1	learners	0.0022275657	0.0106096956	0.0306573119	0.0693576294	0.1530335847	0.0002020524	0.0023566771	0.0017665774	0.1064062818	0.0537357828	0.0028292145	0	0.0552646456	0.009185281	0.0067607776	0.000369797	0.0108895219	0	0.002483305	0.0001814427	0.0011024806	0.0278930741	0.1140197383	0.1070035928	0.0043330277	0.0070802179	0	0.0045054202	0.0861197636	0.0915375261	0.0016733259	0.0007315641	0.0130606885	0.0226224362	0.0977198697	0.0085961481	0.9158723184	3.5553745928	3.7280130293	4.1300191303	2.4943306801	0.0841276816	5.7003257329	3.6303806079	1.0430995727
RU_4_26_1	learners	0.0148438367	0.0172519091	0.0347287432	0.0884712961	0.0901933347	0.0006993007	0.0111115201	0.0019012238	0.1062635603	0.0496437598	0.0020242915	0	0.0381466564	0.0053393665	0.0276549856	0	0.0058956428	0	0	0.0006993007	0	0.027404054	0.1202604491	0.1250487588	0.0133440171	0	0	0.0045002057	0.0737978719	0.0935749421	0	0	0.0143573197	0.0328436538	0.0769230769	0.0033653846	0.9370830236	4.2307692308	4.3461538462	4.6324328449	2.7827082621	0.0629169764	6.8461538462	3.9715462478	1.0999431886
RU_1_67_1	learners	0.0019297373	0.0145411815	0.0260011398	0.0690012443	0.1543299631	0.0065830135	0.0032864916	0.0039156254	0.1063813226	0.0524238843	0.0003172006	0.0006238577	0.0619784635	0.0128059246	0.0114153452	0.0004393146	0.0083847404	0	0.0009346429	0.0020748795	0.000260545	0.0238535851	0.1436588474	0.1010379435	0.00812817	0.0081419548	0	0.0031322545	0.052258815	0.0811783426	0.001751931	0	0.0210734991	0.0181561397	0.0589390963	0.0044416508	0.931344637	3.6679764244	4.0785854617	4.3165458259	2.6424880126	0.068655363	6.231827112	3.8346044925	1.0871991994
RU_1_205_1	learners	0	0.0041322314	0.0288877789	0.1626634729	0.0880780835	0.0016233766	0	0.0051198801	0.0820443445	0.0525174321	0	0	0.0604375423	0.0224358974	0.0240592741	0	0.0144703781	0	0	0	0	0.0202713953	0.1048180355	0.1347196995	0	0	0	0	0.0540507472	0.1203337067	0	0	0.0117609663	0.0075757576	0	0	0.8962867124	3.6363636364	3.0909090909	4.3257575758	2.177866857	0.1037132876	4.6818181818	3.1635577806	0.9405103735
RU_1_123_1	learners	0.0012019231	0.0032852564	0.0200899493	0.0387342339	0.145300248	0.0391757246	0.0012019231	0.0035714286	0.087493452	0.0744186777	0	0	0.0799064498	0.003125	0.0080882353	0	0.0219728401	0	0.0055147059	0.0017361111	0	0.0224709017	0.1596875986	0.0770458309	0.0012019231	0.007181677	0	0.0089285714	0.0440123806	0.0688707339	0	0.0018382353	0.0624266053	0.0115193834	0.125	0.0138020833	0.9367475649	3.9375	5.1875	4.7017113095	2.9033676381	0.0632524351	7.25	4.1881036891	1.2082920153
RU_4_42_1	learners	0.002764977	0.0082190595	0.0204800871	0.1135882786	0.1734778536	0.0052072494	0.002653486	0.0011520737	0.103286793	0.0317710922	0.0024813896	0	0.0296991927	0.0056750299	0.0035784108	0	0.0126721256	0	0.0064516129	0.0030567118	0	0.0162061651	0.1859726154	0.1130947425	0.0081029186	0.008581429	0	0.0046082949	0.0506872759	0.064443677	0	0	0.0069609616	0.0151264968	0.0967741935	0.0043646139	0.9389514647	3.9677419355	4.4838709677	4.5846390169	2.7509166707	0.0610485353	6.6129032258	4.030083427	1.2466450936
RU_1_128_1	learners	0	0.004784689	0.0398437007	0.0292339545	0.1525313876	0.011038961	0	0.007740448	0.1515922003	0.0268411001	0	0	0.0232047364	0.0101010101	0.0199493794	0	0	0	0	0.011038961	0	0.0362073371	0.1976862378	0.1003523214	0	0.0230375365	0	0.0045454545	0.0449962211	0.0820696271	0	0	0	0.0232047364	0.0909090909	0.012987013	0.9453479101	3.7272727273	4.1818181818	4.7803030303	2.9943725133	0.0546520899	7.5454545455	4.2677912133	1.6104679742
RU_1_80_1	learners	0	0.0274878032	0.0118357488	0.1379262045	0.2113048109	0.0031055901	0	0	0.0717617539	0.0304689344	0	0.0098605099	0.0486958464	0	0.0032467532	0	0.0095663265	0	0.0026455026	0.025	0.0044642857	0.0118357488	0.1017226726	0.1444606371	0.0057510927	0.0114285714	0	0.0031055901	0.0105681818	0.0929391333	0	0	0.0110780423	0.0097402597	0.0714285714	0.0054945055	0.9178681595	3.2857142857	3.7857142857	4.2214285714	2.4509827644	0.0821318405	5.5	3.5535801448	0.9643398306
